nG,nO,N,t
17.883345247117607,509.96491593518954,9.999987695605768,5.410821643286573
18.269478857090004,534.067503312519,9.999987124081988,5.4509018036072145
18.663949786657245,559.3092567385876,9.99998652578433,5.490981963927855
19.066938053554743,585.7440168764874,9.999985899452296,5.531062124248497
19.478627562424773,613.4281690727678,9.999985243765929,5.571142284569138
19.89920618874185,642.4207636273906,9.99998455734299,5.611222444889779
20.328865864550124,672.7836417480253,9.99998383873603,5.651302605210421
20.76780266605198,704.5815674573503,9.9999830864293,5.691382765531062
21.21621690308795,737.8823657347258,9.999982298835532,5.731462925851703
21.67431321054849,772.7570671868775,9.99998147429256,5.771543086172344
22.142300641759686,809.2800595561949,9.999980611059781,5.811623246492986
22.62039276388514,847.5292463897889,9.999979707314452,5.851703406813627
23.108807755387932,887.5862132077732,9.999978761147807,5.891783567134269
23.607768505596795,929.5364015251821,9.999977770561,5.9318637274549095
24.11750271642226,973.4692910987393,9.999976733460846,5.971943887775551
24.63824300626887,1019.4785907871823,9.999975647655367,6.012024048096192
25.170227016191227,1067.6624384322758,9.999974510849125,6.052104208416833
25.713697518342002,1118.123610186838,9.999973320638334,6.092184368737475
26.268902526761543,1170.9697397362827,9.999972074505745,6.132264529058116
26.836095410559743,1226.313547881291,9.999970769815283,6.1723446893787575
27.415535009541543,1284.273082971284,9.999969403806436,6.212424849699398
28.007485752329174,1344.9719727015759,9.99996797358838,6.25250501002004
28.612217777034687,1408.5396878112522,9.999966476133816,6.292585170340681
29.23000705453821,1475.1118182442829,9.99996490827253,6.332665330661323
29.861135514427804,1544.8303623628783,9.999963266684638,6.372745490981964
30.505891173658796,1617.8440298300222,9.99996154789352,6.4128256513026045
31.16456826799094,1694.3085588071972,9.99995974825841,6.452905811623246
31.83746738626356,1774.3870481438962,9.999957863966644,6.492985971943887
32.52489560757008,1858.2503052675002,9.999955891025543,6.533066132264529
33.227166641394156,1946.0772105155272,9.9999538252539,6.57314629258517
33.94460097077187,2038.0550986874287,9.999951662273086,6.613226452905812
34.677525998544795,2134.380158629723,9.99994939749771,6.6533066132264524
35.426276196771155,2235.257851706847,9.999947026125863,6.693386773547094
36.19119325936284,2340.90335005025,9.999944543128878,6.733466933867735
36.97262625801833,2451.541995520598,9.999941943240625,6.773547094188377
37.77093180152226,2567.409780361969,9.999939220946288,6.813627254509018
38.58647419848479,2688.7538505733546,9.99993637047062,6.853707414829659
39.41962562359465,2815.8330330710996,9.999933385765631,6.8937875751503
40.27076628746189,2948.918387766736,9.999930260497713,6.933867735470941
41.140284610127985,3088.2937857378274,9.999926988034133,6.973947895791583
42.02857739832211,3234.256514724987,9.999923561428911,7.014028056112224
42.93605002654496,3387.1179132466905,9.999919973408016,7.054108216432866
43.86311662206221,3547.2040346843455,9.999916216353864,7.0941883767535066
44.81020025389262,3714.8563427542217,9.999912282289088,7.134268537074148
45.7777331258764,3890.43243984957,9.99990816285954,7.174348697394789
46.76615677391265,4074.3068298066,9.999903849316487,7.214428857715431
47.77592226745509,4266.871716721177,9.999899332497966,7.254509018036072
48.80749041535885,4468.537841520232,9.999894602809263,7.294589178356713
49.8613319761716,4679.735358072198,9.999889650202464,7.3346693386773545
50.93792787296524,4900.91475070525,9.999884464155036,7.374749498997995
52.03776941280644,5132.547795090461,9.99987903364741,7.414829659318637
53.1613585109656,5375.128564539326,9.999873347139491,7.454909819639278
54.30920791996723,5629.174483862242,9.999867392546061,7.49498997995992
55.48184146358558,5895.227433035637,9.999861157211024,7.535070140280561
56.67979427589309,6173.85490303208,9.99985462788043,7.575150300601202
57.9036130454698,6465.651206278542,9.999847790674226,7.615230460921843
59.153856264886244,6771.238744324923,9.99984063105667,7.655310621242485
60.4310944855726,7091.269335426581,9.999833133805353,7.695390781563126
61.73591057819139,7426.425604872798,9.99982528297874,7.735470941883767
63.06889999863175,7777.422441026585,9.999817061882204,7.775551102204409
64.43067105974708,8145.008520181617,9.999808453032431,7.8156312625250495
65.82184520896026,8529.967903488918,9.999799438120153,7.855711422845691
67.24305731186232,8933.121709359322,9.99978999797112,7.895791583166332
68.69495594193519,9355.329864909212,9.999780112505228,7.935871743486974
70.17820367652942,9797.492940185091,9.999769760693706,7.975951903807615
71.69347739923315,10260.554069079662,9.999758920514298,8.016032064128256
73.24146860876942,10745.50096103651,9.999747568904308,8.056112224448897
74.8228837345632,11253.36800783444,9.99973568171144,8.09619238476954
76.43844445912212,11785.238489945275,9.999723233642303,8.13627254509018
78.08888804737822,12342.246887171315,9.999710198208493,8.176352705410821
79.77496768314013,12925.58129849075,9.99969654767012,8.216432865731463
81.49745281281055,13536.485976273018,9.999682252976667,8.256513026052104
83.25712949652477,14176.263980269207,9.999667283705062,8.296593186372744
85.05480076687135,14846.279957038774,9.999651607994807,8.336673346693386
86.89128699535752,15547.963050740651,9.999635192480058,8.376753507014028
88.7674262667879,16282.809951498019,9.999618002218483,8.41683366733467
90.68407476172631,17052.38808783846,9.999600000616768,8.45691382765531
92.64210714721615,17858.338970019326,9.999581149352592,8.496993987975952
94.64241697593626,18702.381691369123,9.999561408292921,8.537074148296593
96.68591709397596,19586.31659511387,9.999540735408441,8.577154308617233
98.77354005741488,20512.029114509547,9.999519086683947,8.617234468937875
100.9062385578965,21481.493794471222,9.999496416024487,8.657314629258517
103.08498585739163,22496.778503277746,9.999472675157085,8.697394789579159
105.31077623234857,23560.048843334953,9.999447813527816,8.737474949899799
107.58462542743395,24673.57277040604,9.999421778194005,8.77755511022044
109.90757111906952,25839.72543116121,9.999394513711344,8.817635270541082
112.2806733889787,27060.994229365977,9.999365962015673,8.857715430861724
114.70501520795712,28339.984131513604,9.999336062299166,8.897795591182364
117.18170293008932,29679.42322321917,9.999304750880672,8.937875751503006
119.71186679763537,31082.16852822618,9.999271961069924,8.977955911823647
122.29666145681996,32551.212102438694,9.99923762302534,9.018036072144287
124.9372664847582,34089.68741597717,9.999201663605088,9.05811623246493
127.63488692775775,35700.87603687018,9.999164006211126,9.098196392785571
130.39075385124497,37388.21463063969,9.999124570625861,9.138276553106213
133.20612490156432,39155.30229070889,9.999083272841096,9.178356713426853
136.0822848799087,41005.90821526919,9.99904002487889,9.218436873747494
139.02054632864076,42943.97974697998,9.99899473460395,9.258517034068136
142.02225013027515,44973.65079265128,9.99894730552716,9.298597194388778
145.08876611939314,47099.250640867285,9.998897636599818,9.338677354709418
148.2214937077705,49325.31319635986,9.998845621998155,9.37875751503006
151.42186252300138,51656.58665082725,9.99879115089767,9.418837675350701
154.69133306091274,54098.043610827866,9.998734107236794,9.458917835671341
158.03139735206543,56654.891704350965,9.998674369469388,9.498997995991983
161.44357964264503,59332.58468868716,9.998611810305546,9.539078156312625
164.9294370900557,62136.8340832938,9.998546296440143,9.579158316633267
168.4905604735323,65073.6213524664,9.998477688268554,9.619238476953907
172.12857492009698,68149.21066380326,9.998405839588948,9.659318637274549
175.84514064618864,71370.1622496749,9.99833059729049,9.69939879759519
179.6419537153073,74743.34640020103,9.998251801026834,9.739478957915832
183.52074681201626,78275.95811757987,9.99816928287416,9.779559118236472
187.48329003265758,81975.53246302939,9.99808286697307,9.819639278557114
191.5313916931386,85849.96062907283,9.997992369153536,9.859719438877756
195.66689915416163,89907.50677145371,9.997897596542153,9.899799599198396
199.89169966427195,94156.82563658168,9.997798347150795,9.939879759519037
204.20772122110702,98606.98102210647,9.99769440944586,9.97995991983968
208.61693345124345,103267.46511000014,9.99758556189714,10.02004008016032
213.12134850904033,108148.21871338195,9.997471572505376,10.06012024048096
217.72302199489138,113259.65248027485,9.997352198307478,10.100200400801603
222.42405389330185,118612.66909951757,9.997227184858371,10.140280561122244
227.2265895312222,124218.68655620221,9.997096265688342,10.180360721442886
232.13282055707262,130089.66248623723,9.996959161734743,10.220440881763526
237.14498594090787,136238.11968198736,9.99681558074684,10.260521042084168
