Cx,Mu,v1,v2,v3,v4,v5,v6,vd,gR,gP1,gP2,gP3,gP4,gP5,gP6,gP,R,PSU,Tc,CB,Mc,Tn,Mq,Pq,Q
4.0,1.3039112091064454e-05,1499970.5582857132,1092547.2021102908,364182.40070343023,181634.83142852783,363269.66285705566,912.7378463745699,0.0,1.2342676775518338,0.671136849368044,3.3833882903600463,6.713325138332778,0.23683569266381713,4.831448130341869,0.00011901291088634785,36.326966285705566,94658.87469421039,51471.0545227973,259479.96050119406,514860.6048822403,18163.483142852783,370535.0561141968,9.1273784637457,2786000.0,70000000.00000446
4.842105263157895,1.3124942779541017e-05,1509844.1988229747,1099738.9554977412,366579.6518325804,182830.45291900632,365660.90583801264,918.7459945678129,0.0,1.2423923139372537,0.6800951176734185,2.957403312760436,6.7418231205877515,0.23996392329195257,4.895264035155833,0.00012058488607635045,36.56609058380127,94658.87469421033,51816.996774533865,225326.94903404807,513664.95335102064,18283.04529190063,372974.1239547729,9.187459945678128,2786000.0,69999999.99999556
5.684210526315789,1.3186931610107422e-05,1516975.16143322,1104932.9996109009,368310.9998703003,183693.9573287964,367387.9146575928,923.0852127074613,0.0,1.2482601068822803,0.6865146972391938,2.65105353173638,6.762277350647139,0.2422359652484829,4.941613691069051,0.00012172661570274754,36.73879146575927,94658.87469421036,52060.23035055395,201036.42076253888,512801.4272451401,18369.39573287964,374735.6729507446,9.230852127074613,2785999.9999999995,69999999.99999559
6.526315789473684,1.3232231140136722e-05,1522186.249494553,1108728.647232056,369576.2157440186,184324.97978210452,368649.95956420904,926.2561798095121,0.0,1.2525481094190305,0.6913263307326795,2.419524224327847,6.777156969548059,0.24390307373778353,4.9756227042507835,0.00012256435866219505,36.86499595642091,94658.87469421038,52245.63593328648,182850.813192706,512170.38893699634,18432.497978210453,376022.9587554932,9.26256179809512,2786000.0000000005,69999999.99999559
7.368421052631579,1.3267993927001954e-05,1526300.2663850787,1111725.211143494,370575.0703811646,184823.15540313724,369646.3108062745,928.7595748901367,0.0,1.2559333745796222,0.695078379407436,2.238894437045503,6.7888636528167,0.24522325034581635,5.002554307054653,0.0001232277639928725,36.96463108062745,94658.87469421038,52387.60156445869,168744.00526285177,511672.2007989882,18482.315540313724,377039.23702239996,9.287595748901367,2786000.0,70000000.0
8.210526315789473,1.3296604156494141e-05,1529591.479897499,1114122.4622726443,371374.1540908814,185221.69589996338,370443.39179992676,930.762290954648,0.0,1.2586415867080956,0.6980830286096376,2.0939083349198038,6.798203343533089,0.24628195715763468,5.0241519260157474,0.00012375977746615583,37.04433917999267,94658.87469421036,52500.85062272758,157476.92495584494,511273.6502885818,18522.169589996338,377852.2596359253,9.307622909546481,2785999.9999999995,70000000.00000438
9.052631578947368,1.3320446014404298e-05,1532334.1578245165,1116120.171546936,372040.057182312,185553.81298065186,371107.6259613037,932.4312210083008,0.0,1.2608984301484905,0.7005478500616277,1.975092689023294,6.805968998458242,0.24716595485756446,5.042185479094314,0.00012420399741586152,37.11076259613037,94658.87469421038,52591.92141945382,148275.2669758575,510941.5248632432,18555.381298065186,378529.7784805298,9.324312210083008,2786000.0,70000000.0
9.894736842105264,1.3339519500732423e-05,1534528.3001661298,1117718.3389663696,372572.77965545654,185819.50664520264,371639.0132904053,933.7663650512695,0.0,1.2627039049008064,0.7025950381805736,1.8756243348010453,6.812170119776796,0.24787429325101584,5.056635582320723,0.0001245599463572944,37.16390132904053,94658.87469421039,52670.19086721952,140606.58891784385,510675.82452297217,18581.950664520264,379071.7935562134,9.337663650512695,2786000.0,70000000.0
10.736842105263158,1.335620880126953e-05,1536448.1747150423,1119116.7354583743,373038.91181945807,186051.98860168463,372103.97720336926,934.934616088809,0.0,1.2642836953090824,0.7043339861496317,1.7914607037203514,6.817587786518972,0.24849492076555188,5.0692963836172575,0.000124871819480169,37.210397720336914,94658.87469421039,52734.57435636104,134129.43226449634,510443.33672523516,18605.198860168464,379546.05674743664,9.34934616088809,2786000.0,69999999.99999565
11.578947368421051,1.3370513916015625e-05,1538093.781471253,1120315.3610229497,373438.4536743166,186251.2588500977,372502.5177001954,935.9359741210935,0.0,1.2656378013733192,0.7058252660868954,1.7192027325150283,6.822225324449391,0.249027504833066,5.080161098594546,0.0001251394496648572,37.2502517700196,94658.87469421039,52789.688602876784,128581.64939013399,510244.06147003174,18625.125885009773,379952.56805419934,9.359359741210936,2786000.0,69999999.99999999
12.421052631578947,1.3382434844970702e-05,1539465.120434761,1121314.2156600952,373771.40522003174,186417.3173904419,372834.6347808838,936.7704391479492,0.0,1.2667662230935166,0.7071131142078344,1.6563731819858787,6.826085584223448,0.24947176039518124,5.089223912061698,0.00012536269366592023,37.28346347808838,94658.87469421039,52838.89833198605,123772.18355061642,510077.99875736237,18641.73173904419,380291.32747650146,9.367704391479492,2786000.0,70000000.0
13.263157894736842,1.339435577392578e-05,1540836.459398269,1122313.0702972407,374104.3567657469,186583.37593078602,373166.75186157203,937.6049041748629,0.0,1.267894644813713,0.7082565756247061,1.601694189903923,6.8299418847539055,0.24991641187170882,5.098294802182859,0.00012558613661895702,37.31667518615722,94658.87469421033,52877.240800445135,119579.7854661941,509911.93604469293,18658.337593078602,380630.0868988034,9.37604904174863,2786000.0,70000000.00000435
14.105263157894736,1.3403892517089843e-05,1541933.5305690763,1123112.1540069578,374370.7180023193,186716.2227630615,373432.445526123,938.2724761962893,0.0,1.2687973821898717,0.7092552232396461,1.5531535918118329,6.833024074522884,0.250272418111308,5.105557329470684,0.000125765034226788,37.34324455261226,94658.87469421039,52914.123441034164,115873.32484437457,509779.0858745576,18671.62227630615,380901.09443664545,9.382724761962892,2786000.0,70000000.00000001
14.94736842105263,1.341104507446289e-05,1542756.3339471817,1123711.4667892454,374570.4889297485,186815.85788726804,373631.7157745361,938.7731552124023,0.0,1.26947443522199,0.7101285480371243,1.5096677077455962,6.835334053967303,0.2505395890750605,5.111007617131235,0.00012589929099249275,37.36317157745361,94658.87469421038,52951.02239193427,112568.98320476773,509679.448246956,18681.585788726803,381104.3500900268,9.387731552124023,2786000.0,70000000.0
15.789473684210526,1.3418197631835938e-05,1543579.137325287,1124310.779571533,374770.2598571777,186915.49301147455,373830.9860229491,939.2738342285154,0.0,1.2701514882541087,0.7109183549279537,1.4709068633897002,6.837642608084026,0.2508069025680014,5.116460812387229,0.00012603361938090527,37.38309860229489,94658.87469421039,52981.65777803369,109620.30100822447,509579.8106193543,18691.549301147454,381307.605743408,9.392738342285154,2786000.0,69999999.99999999
16.63157894736842,1.3425350189208985e-05,1544401.9407033918,1124910.0923538208,374970.03078460693,187015.12813568115,374030.2562713623,939.7745132446289,0.0,1.2708285412862268,0.7116372827588496,1.4361533963064088,6.839949736873053,0.25107435859013094,5.121916915238671,0.0001261680193920256,37.40302562713623,94658.87469421038,53006.98102689707,106973.2540355453,509480.1729917527,18701.512813568115,381510.86139678955,9.397745132446289,2786000.0,70000000.0
17.473684210526315,1.3432502746582032e-05,1545224.7440814974,1125509.4051361084,375169.80171203613,187114.76325988767,374229.52651977533,940.2751922608004,0.0,1.2715055943183449,0.7122955339723415,1.4048279886242954,6.842255440334381,0.25134195714144875,5.127375925685555,0.0001263024910258615,37.42295265197753,94658.87469421035,53027.760158365774,104584.23237484622,509380.53536415077,18711.476325988766,381714.11705017084,9.402751922608005,2785999.9999999995,70000000.00000434
18.31578947368421,1.3437271118164062e-05,1545773.2796669018,1125908.9469909677,375302.98233032256,187181.1866760255,374362.373352051,940.6089782715426,0.0,1.2719569630064245,0.7128746448630378,1.3759695416132651,6.843791784126553,0.25152043535854335,5.131016881314284,0.00012639217857214009,37.43623733520508,94658.8746942104,53052.0400008449,102399.47750650611,509314.11027908337,18718.11866760255,381849.62081909203,9.406089782715426,2786000.0,70000000.00000434
19.157894736842103,1.3442039489746094e-05,1546321.8152523048,1126308.4888458257,375436.1629486086,187247.61009216317,374495.22018432635,940.9427642822266,0.0,1.2724083316945034,0.7134081037777564,1.3496956300647656,6.8453274944397435,0.25169897692194365,5.134659129207651,0.0001264818979507254,37.44952201843269,94658.87469421039,53072.90640843311,100408.54522815123,509247.6851940155,18724.761009216316,381985.12458801287,9.409427642822266,2786000.0,70000000.0
20.0,1.3446807861328126e-05,1546870.3508377075,1126708.0307006836,375569.34356689453,187314.03350830078,374628.06701660156,941.276550292969,0.0,1.2728597003825823,0.7139016597567899,1.325679810406655,6.84686257127396,0.2518775818316499,5.138302669365658,0.00012657164916163313,37.46280670166014,94658.87469421039,53090.79055185359,98586.95268630981,509181.26010894775,18731.403350830078,382120.6283569336,9.41276550292969,2786000.0,70000000.0
