	nG	nO	N	t
134	105097700.37959677	109827100.90932477	0.07974135984099248	12.22811140557028
135	105680081.24921425	109204496.45050791	0.07959644455343542	12.319365968298415
136	106262706.53990385	108582568.2090537	0.07945644738405197	12.410620531026552
137	106845582.0882176	107961383.50229251	0.07931687072731707	12.501875093754688
138	107428672.34406118	107340968.81404464	0.07917707959147967	12.593129656482825
139	108011936.33716138	106721344.87095088	0.07903699842136129	12.68438421921096
140	108595330.58742262	106102532.76494184	0.0788966328261885	12.775638781939097
141	109178812.5693724	105484552.99038105	0.07875602705877603	12.866893344667234
142	109762339.95809397	104867427.09426546	0.07861517888777336	12.95814790739537
143	110354018.66575304	104254631.50431636	0.07793389050856875	13.049402470123507
144	110943987.82519744	103638099.33746563	0.07754639306532499	13.140657032851642
145	111531437.4769751	103020382.53019418	0.07737033627733575	13.23191159557978
146	112118404.38889025	102403327.5001914	0.07722392956603709	13.323166158307917
147	112705140.51546262	101787212.81727678	0.07708159131407107	13.414420721036052
148	113291644.71222228	101172097.7807195	0.07693976485473328	13.50567528376419
149	113877881.03044946	100558011.29468206	0.07679795904139083	13.596929846492325
150	114463808.43995127	99944978.14537321	0.07665612873812405	13.688184409220462
151	115049384.68853125	99333023.18913934	0.07651428425110121	13.779438971948597
152	115634567.79168499	98722171.23030898	0.0763724489784865	13.870693534676734
153	116219316.6089613	98112446.99761143	0.07623063857532827	13.961948097404871
154	116812147.06079777	97506932.04373792	0.0755482287423755	14.053202660133007
155	117401853.9164664	96898113.16193889	0.07519632824005183	14.144457222861144
156	117988759.09210742	96288828.53471775	0.07502678673752423	14.23571178558928
157	118574747.83191127	95680568.31101796	0.0748816855042413	14.326966348317416
158	119160037.99052663	95073552.4852039	0.07473995538411952	14.418220911045553
159	119744623.54098234	94467832.79329331	0.0745988060450536	14.509475473773689
160	120328468.77486603	93863438.63295302	0.07445788646768749	14.600730036501826
161	120911535.34752369	93260395.8930335	0.07431716208271799	14.691984599229961
162	121493783.3116903	92658730.97302465	0.07417664052134308	14.783239161958099
163	122075172.41199139	92058470.28644027	0.07403635104601454	14.874493724686236
164	122655664.27601954	91459639.66069351	0.07389629693138128	14.965748287414371
165	123244103.85877648	90864925.9928386	0.07321913826674878	15.057002850142508
166	123828091.66560274	90267459.75239119	0.07290163931723082	15.148257412870644
167	124409027.89298253	89670196.44197494	0.07274018034922732	15.23951197559878
168	124988636.00709938	89074322.80272405	0.0725986806764587	15.330766538326916
169	125567101.91417259	88480010.30742262	0.07245996900309212	15.422021101055053
170	126144416.42657569	87887302.87480044	0.07232191364372942	15.51327566378319
171	126720546.53675817	87296228.43636838	0.07218425094257998	15.604530226511326
172	127295456.93234909	86706812.3649273	0.07204696202315067	15.695784789239463
173	127869110.90041083	86119080.63386239	0.07191005591482875	15.787039351967598
174	128441472.67790891	85533058.52676083	0.07177354956578198	15.878293914695735
175	129012507.49038717	84948770.8943921	0.07163745067978262	15.969548477423873
176	129591304.32196653	84368523.77060856	0.07097097036728978	16.06080304015201
177	130164441.90535457	83786140.11530122	0.0706861947283032	16.152057602880145
178	130734319.20959073	83204558.98830254	0.07053394175060666	16.24331216560828
179	131302493.14319657	82624713.36220922	0.07039784035050757	16.334566728336416
180	131869120.41678168	82046734.50383635	0.07026407040630632	16.425821291064555
181	132434190.65138887	81470659.01089905	0.07013100856585047	16.51707585379269
182	132997674.67943141	80896511.71280582	0.0699984704147516	16.608330416520825
183	133559541.07201901	80324316.13036858	0.0698664417983068	16.699584979248964
184	134119758.14517304	79754095.59415126	0.0697349330219158	16.7908395419771
185	134678295.1716157	79185872.74741793	0.06960395636962596	16.882094104705235
186	135235121.71288642	78619670.23768887	0.06947351475075941	16.97334866743337
187	135799489.23712653	78057436.11072662	0.0688220781944849	17.06460323016151
188	136357133.95819536	77493698.74143656	0.06856808192735228	17.155857792889645
189	136911358.7294736	76931282.49704884	0.06842575372776416	17.24711235561778
190	137463552.5210447	76370910.81890802	0.06829640523593174	17.33836691834592
191	138013846.34519488	75812682.50676589	0.06816901590050733	17.429621481074054
192	138562230.3823736	75256626.6477325	0.06804237709378201	17.52087604380219
193	139108679.70503673	74702764.45908768	0.06791635650930604	17.61213060653033
194	139653168.88308498	74151115.34696884	0.06779094506795987	17.703385169258464
195	140195671.6509761	73601699.17224765	0.06766614420540591	17.7946397319866
196	140736161.7839403	73054535.34793554	0.06754197959616443	17.885894294714735
197	141274615.24989012	72509642.37122089	0.06741843593610017	17.977148857442874
198	141820365.6687709	71968641.2919407	0.06678549521067141	18.06840342017101
199	142358491.15366417	71426750.8228093	0.06656005467837138	18.159657982899144
200	142893089.0241918	70886611.91627735	0.06642802809192493	18.250912545627283
201	143425384.1300963	70348778.0360398	0.06630636558227297	18.34216710835542
202	143955485.38508588	69813321.70110635	0.066186371203256	18.433421671083554
203	144483384.7250459	69280264.98796284	0.06606715016931827	18.52467623381169
204	145009062.49031726	68749624.44493732	0.0659486105211007	18.61593079653983
205	145532498.14752993	68221415.74005982	0.06583074602080159	18.707185359267964
206	146053672.06705642	67695653.65933688	0.0657135604391092	18.7984399219961
207	146572564.48683488	67172353.06665818	0.06559705766212168	18.889694484724238
208	147089156.41636077	66651528.232176594	0.06548124093895465	18.980949047452373
209	147612791.60703912	66134507.33462907	0.06486934854022552	19.07220361018051
210	148128068.25926286	65617163.47698852	0.06467011207545599	19.163458172908648
211	148639762.29956135	65101912.01413616	0.0645484720278431	19.254712735636783
212	149148941.86242658	64589170.51461686	0.06443506584121168	19.34596729836492
213	149655697.1880005	64078990.4829269	0.06432310118071481	19.437221861093054
214	150160023.03348684	63571387.40110524	0.06421191365840825	19.528476423821193
215	150661904.61187238	63066373.26274944	0.06410144303010304	19.619730986549328
216	151161327.70176786	62563958.58500784	0.06399168740340794	19.710985549277463
217	151658278.1267844	62064153.77336241	0.06388264647832866	19.802240112005602
218	152152742.7124044	61566968.63794233	0.06377430886195964	19.893494674733738
219	152644707.95373988	61072412.796257354	0.06366668528870852	19.984749237461873
220	153143462.87696928	60581556.92436583	0.06307762815079022	20.07600380019001
221	153633294.09400305	60090879.03252091	0.06290216603392658	20.167258362918147
222	154119537.72052196	59602547.48206824	0.06279075946312367	20.258512925646283
223	154603115.7980202	59116872.842870496	0.06268587807463163	20.349767488374418
224	155084103.42982212	58633890.01510804	0.0625822509734047	20.441022051102557
225	155562498.4623768	58153608.429465115	0.06247939383521487	20.532276613830692
226	156038291.8221379	57676034.94436535	0.06237726451207364	20.623531176558828
227	156511474.5503686	57201175.636012994	0.062275858881946485	20.714785739286967
228	156982037.5076719	56729036.52626927	0.06217517767452309	20.806040302015102
229	157449973.97013056	56259622.08068698	0.06207521410537582	20.897294864743237
230	157915275.34664282	55792937.662377104	0.061975975081427784	20.988549427471373
231	158387120.65083483	55329832.17586089	0.06141081682059607	21.079803990199512
232	158849636.27141356	54867330.13032971	0.061256747633769884	21.171058552927647
233	159308605.21632108	54407347.860987164	0.06115524268391327	21.262313115655783
234	159764815.87889656	53950112.77372981	0.061058902800157175	21.35356767838392
235	160218331.2234754	53495646.735262066	0.06096366324429908	21.444822241112057
236	160669152.3051066	53043953.7877887	0.06086917383805768	21.536076803840192
237	161117275.20911047	52595036.11214404	0.06077540436308327	21.627331366568328
238	161562695.9138067	52148895.41606656	0.06068235131868683	21.718585929296466
239	162005410.9741192	51705532.935379736	0.06059001440297201	21.809840492024602
240	162445416.77911758	51264949.71629998	0.0604983872904122	21.901095054752737
241	162882711.8871157	50827146.06754467	0.06040746838687032	21.992349617480876
242	163326318.1079594	50392782.900730595	0.05986670947186531	22.08360418020901
243	163760335.3583321	49959369.79841938	0.059731730479753754	22.174858742937147
244	164190886.71322915	49528577.88247311	0.059639663637645376	22.266113305665282
245	164618640.73897073	49100570.80290512	0.059551684769384966	22.35736786839342
246	165043650.67062223	48675360.29234654	0.05946468040890068	22.448622431121557
247	165465920.73374337	48252945.7349539	0.05937839533316105	22.539876993849692
248	165885451.48984995	47833325.144336484	0.059292808555349616	22.63113155657783
249	166302243.54503703	47416496.20612086	0.05920791724653591	22.722386119305966
250	166716297.90494505	47002456.30329848	0.059123716128492446	22.8136406820341
251	167127615.9071637	46591202.5068611	0.059040200852743356	22.90489524476224
252	167536199.1884662	46182731.42728582	0.05895737342034888	22.996149807490376
253	167950875.9952358	45777546.941252425	0.05844105692846965	23.08740437021851
254	168355835.29270437	45373582.226135425	0.05832298434945795	23.178658932946647
255	168757442.4290847	44972277.8672626	0.05823980226253566	23.269913495674786
256	169156260.50216278	44573749.286277406	0.05815986322315128	23.36116805840292
257	169552335.14477122	44178000.453872725	0.05808078951440197	23.452422621131056
258	169945673.3843153	43785026.83481104	0.05800239792990504	23.543677183859195
259	170336279.84832624	43394822.6063081	0.05792467421932889	23.63493174658733
260	170724158.65983656	43007382.39223217	0.057847617188388455	23.726186309315466
261	171109314.6874617	42622700.53145162	0.057771203944006436	23.8174408720436
262	171491752.85911414	42240770.299854614	0.05769545322887281	23.90869543477174
263	171871478.58296597	41861585.232870094	0.05762035454116702	23.999949997499876
264	172257098.19477028	41485519.59423401	0.057128117647890296	24.09120456022801
265	172632982.44275564	41110872.23448148	0.057024969891382796	24.18245912295615
266	173005655.0606215	40738872.59385597	0.05695006353375996	24.273713685684285
267	173375587.01552534	40369599.917657696	0.05687774041448271	24.36496824841242
268	173742817.89359546	40003052.34117178	0.0568061921710706	24.45622281114056
269	174107357.23535213	39639222.16023713	0.0567352815997416	24.547477373868695
270	174469212.56138554	39278101.00850842	0.056664997648540445	24.63873193659683
271	174828391.47518802	38919680.30347079	0.056595336533743275	24.729986499324966
272	175184901.80592352	38563951.260218695	0.056526294515294805	24.821241062053105
273	175538751.62190372	38210904.88109138	0.056457867812879314	24.91249562478124
274	175890813.27177998	37860633.61116822	0.056345123904735346	25.003750187509375
275	176246855.91136155	37513103.71300808	0.055921279222892924	25.095004750237514
276	176594104.49630967	37167226.82732545	0.05583122904609933	25.18625931296565
277	176938301.56848097	36823943.14564181	0.055763971079071155	25.277513875693785
278	177279839.1054339	36483305.14358872	0.05569878254925307	25.36876843842192
279	177618752.09254	36145306.69574442	0.05563428011032893	25.46002300115006
280	177955051.78118014	35809937.67514791	0.055570372115327414	25.551277563878195
281	178288748.11639157	35477187.62467886	0.05550704436038665	25.64253212660633
282	178619851.22458005	35147045.36610749	0.055444306408253215	25.73378668933447
283	178948371.49775967	34819500.18753588	0.05538213723704536	25.825041252062604
284	179274319.14422902	34494540.999837756	0.0553205420381226	25.91629581479074
285	179599328.0197494	34172317.52325311	0.0551765089753221	26.007550377518875
286	179926633.88310146	33852532.47452407	0.05481339009643094	26.098804940247014
287	180246054.34877247	33534541.269244097	0.05473479704877737	26.19005950297515
288	180562596.89092714	33219056.28285636	0.05467455755790029	26.281314065703285
289	180876586.6515773	32906110.488415178	0.054615977188802775	26.372568628431424
290	181188054.64173126	32595694.6145695	0.05455801354813868	26.46382319115956
291	181497013.53419298	32287796.84949817	0.054500596913147854	26.555077753887694
292	181803475.26689333	31982404.88780793	0.054443714858387414	26.646332316615833
293	182107451.58060938	31679506.09314853	0.05438737979247656	26.73758687934397
294	182408954.6829511	31379088.13419762	0.05433156989582864	26.828841442072104
295	182707996.39761853	31081138.558240395	0.054276287557220006	26.92009600480024
296	183006856.7696423	30785837.126299188	0.05410707336672157	27.01135056752838
297	183306572.41498575	30492725.14732936	0.05379709926083814	27.102605130256514
298	183599256.75826272	30201472.939918853	0.053728512777209254	27.19385969298465
299	183889245.1481821	29912615.93108908	0.05367466776765209	27.285114255712788
300	184176806.09690312	29626172.98526004	0.05362216958167262	27.376368818440923
301	184461967.64145795	29342132.695999254	0.05357022103412053	27.46762338116906
302	184744743.5172325	29060481.864850815	0.053518774410870426	27.558877943897194
303	185025146.52754506	28781207.40764416	0.05346782106527221	27.650132506625333
304	185303189.97462878	28504295.589053903	0.05341735909616176	27.74138706935347
305	185578886.97059548	28229732.93903188	0.053367384157837074	27.832641632081604
306	185852250.74378195	27957505.885948926	0.05331789165187123	27.923896194809743
307	186126099.57400998	27687804.20909638	0.053128928452266265	28.015150757537878
308	186399588.65196872	27420084.780279756	0.052865116242250404	28.106405320266013
309	186666837.41523227	27154233.453361247	0.052805252193578955	28.197659882994152
310	186931575.67181376	26890649.56171768	0.05275721090490335	28.288914445722288
311	187194024.71098846	26629341.96013319	0.05271026701175384	28.380169008450423
312	187454210.0001543	26370297.81041041	0.05266381524989102	28.47142357117856
313	187712145.83426046	26113503.181331262	0.05261782163658806	28.562678133906697
314	187967845.23768958	25858944.95370433	0.05257227504344137	28.653932696634833
315	188221322.99607942	25606608.028700173	0.052527172533152616	28.745187259362968
316	188472592.6363563	25356478.390846916	0.05248252117714224	28.836441822091107
317	188721668.1012686	25108542.06470613	0.05243830729147012	28.927696384819242
318	188971805.5197578	24862986.781243134	0.05223431601738786	29.018950947547378
319	189220576.98842385	24619235.663542937	0.05201037334043376	29.110205510275513
320	189463832.42418402	24377318.126744576	0.051958100397687126	29.201460073003652
321	189704762.36911204	24137529.671418436	0.05191530307509543	29.292714635731787
322	189943548.98356354	23899872.18316702	0.051873405643107114	29.383969198459923
323	190180215.53097174	23664331.985045727	0.05183194885136742	29.47522376118806
