	Irr	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
12	126.35263157894738	8.385181427001954e-06	964599.8269319534	702594.351768494	234198.11725616467	116805.57727813727	233611.15455627453	586.9626998901367	0.0	0.7937318379867981	0.39277496621535196	17.968712382955246	4.860915485126181	0.0979435957162878	0.8227262040168175	4.921788729461696e-05	23.36111545562744	94658.87469421039	46841.558484416135	2142912.772893907	579703.0782748559	11680.557727813726	98116.6849136353	5.869626998901367	2786000.0	70000000.0
13	136.87368421052633	8.648633956909181e-06	994906.4180254941	724669.0392494209	241556.34641647362	120475.47101974497	240950.94203948995	605.4043769836427	0.0	0.8186699580031591	0.3920590488803301	19.11556164413855	4.982300855456265	0.10419482496359944	0.8752365296942353	5.235920852442179e-05	24.095094203948978	94658.87469421039	45331.90453356206	2210240.569710734	576079.5150170539	12047.547101974498	101199.39565658578	6.054043769836427	2786000.0	70000000.0
14	147.39473684210526	8.887052536010744e-06	1022333.1972956661	744646.1319923402	248215.37733078006	123796.64182662964	247593.28365325928	622.0936775207521	0.0	0.8412383924071056	0.39069647622272735	20.18401335204701	5.09189139331305	0.11001872596949626	0.9241572981437686	5.528579194447049e-05	24.75932836532593	94658.87469421039	43962.435761418914	2271170.7025766377	572956.1485858752	12379.664182662964	103989.1791343689	6.22093677520752	2786000.0	70000000.0
15	157.9157894736842	9.104013442993166e-06	1047291.5664315226	762825.2863883976	254275.0954627992	126818.90726089482	253637.81452178964	637.2809410095216	0.0	0.861775667714697	0.3888959421506548	21.181553568902007	5.189994762040844	0.115456103652889	0.9698312706842678	5.801814253914019e-05	25.363781452178962	94658.87469421039	42716.978021376446	2326617.123484613	570077.6689906234	12681.890726089481	106527.88209915165	6.372809410095216	2786000.0	70000000.0
16	168.43684210526317	9.303092956542971e-06	1070192.9271221163	779506.1588287359	259835.38627624532	129592.08488464364	259184.16976928728	651.216506958008	0.0	0.8806203104419924	0.3868627807580842	22.118045680133516	5.274406999887648	0.12056072121140471	1.0127100581757995	6.058327699065562e-05	25.918416976928718	94658.87469421039	41584.31852344324	2377493.7844276447	566951.9830152936	12959.208488464365	108857.35130310066	6.512165069580081	2786000.0	70000000.0
17	178.95789473684212	9.484291076660157e-06	1091037.2793674471	794688.7493133547	264896.2497711182	132116.174697876	264232.349395752	663.9003753662109	0.0	0.8977723205889915	0.3845072205486686	22.988031212196358	5.35554750523334	0.12530282567695397	1.0525437356864134	6.296624405877083e-05	26.423234939575195	94658.87469421039	40541.48248306091	2423800.685405732	564675.5737403273	13211.617469787601	110977.58674621585	6.639003753662109	2786000.0	70000000.0
18	189.47894736842107	9.651184082031251e-06	1110236.0248565678	808672.7142333983	269557.57141113275	134440.99426269528	268881.98852539057	675.5828857421876	0.0	0.9135702246717541	0.382044114094178	23.804180142906265	5.427603594559358	0.12975147838005793	1.0899124183924866	6.520174792967738e-05	26.888198852539066	94658.87469421039	39585.206420989794	2466451.7784118652	562376.9631194341	13444.099426269528	112930.43518066403	6.755828857421876	2786000.0	70000000.0
19	200.0	9.804964065551758e-06	1127926.2974858286	821557.9390525821	273852.6463508607	136583.14943313604	273166.2988662721	686.347484588623	0.0	0.9281268648622996	0.3794945163821689	24.568805514046957	5.493197878020935	0.13391928721517848	1.1249220126074992	6.729612422873288e-05	27.316629886627197	94658.87469421039	38704.32505871846	2505751.714110376	560246.6099106316	13658.314943313604	114729.84552383427	6.8634748458862305	2786000.0	70000000.0
20	200.0	9.804964065551758e-06	1127926.2974858286	821557.9390525821	273852.6463508607	136583.14943313604	273166.2988662721	686.347484588623	0.0	0.9281268648622996	0.3794945163821689	24.568805514046957	5.493197878020935	0.13391928721517848	1.1249220126074992	6.729612422873288e-05	27.316629886627197	94658.87469421039	38704.32505871846	2505751.714110376	560246.6099106316	13658.314943313604	114729.84552383427	6.8634748458862305	2786000.0	70000000.0
21	242.10526315789474	1.0313987731933593e-05	1186482.4712276454	864209.032058716	288069.67735290533	143673.849105835	287347.69821167	721.9791412353516	0.0	0.9763104723147252	0.3691259293162085	27.1859961311634	5.705485245642781	0.14818503170772604	1.2447542663448987	7.446484005413367e-05	28.734769821166992	94658.87469421039	35788.866431684946	2635837.547779084	553179.370960252	14367.3849105835	120686.0332489014	7.219791412353516	2786000.0	70000000.0
22	284.2105263157895	1.06966495513916e-05	1230502.451956272	896272.2659111024	298757.4219703675	149004.328250885	298008.65650177	748.765468597412	0.0	1.0125328095330592	0.3594592468621251	29.240686509802316	5.856408929176385	0.15938470809402358	1.338831547989798	8.009281813770029e-05	29.800865650177	94658.87469421039	33604.84468852778	2733630.4110288625	547499.3736159641	14900.432825088501	125163.63573074341	7.48765468597412	2786000.0	70000000.0
23	326.3157894736842	1.0988712310791015e-05	1264100.2565622325	920744.2045211788	306914.73484039295	153072.76248931876	306145.5249786375	769.209861755371	0.0	1.0401791416778938	0.35080643799677214	30.85926918469964	5.9758380060217	0.1682072549613166	1.4129409416750596	8.4526258774531e-05	30.614552497863766	94658.87469421039	31924.253549915677	2808269.8237895956	543816.0393145768	15307.276248931876	128581.12049102776	7.69209861755371	2786000.0	70000000.0
24	368.42105263157896	1.1217594146728515e-05	1290429.9646615982	939922.2135543822	313307.4045181274	156261.0864639282	312522.1729278564	785.2315902709961	0.0	1.0618448387056825	0.34347161725366954	32.158181059500635	6.061615598004497	0.17528734488791992	1.4724136970585273	8.80840929085025e-05	31.25221729278564	94658.87469421039	30619.009099543786	2866762.751340866	540366.8129473466	15626.108646392819	131259.31262969968	7.852315902709961	2786000.0	70000000.0
25	410.5263157894737	1.1396408081054689e-05	1311000.049114228	954905.0331115725	318301.6777038575	158751.96456909183	317503.92913818365	797.7485656738282	0.0	1.0787711645086424	0.3372199498307645	33.19158667977719	6.132570642195312	0.18092021718985057	1.5197298243947448	9.091468200495002e-05	31.750392913818363	94658.87469421039	29590.020595292357	2912460.3509902963	538114.342569924	15875.196456909183	133351.65023803714	7.977485656738282	2786000.0	70000000.0
26	452.63157894736844	1.1538267135620118e-05	1327318.9827799792	966791.40329361	322263.80109787	160728.0611991883	321456.1223983766	807.6786994934082	0.0	1.0921993829789907	0.3320813599819525	34.02304730064929	6.18433495882425	0.18545233063065333	1.557799577297488	9.319212594505188e-05	32.14561223983765	94658.87469421039	28780.869438944996	2948713.7800455107	535984.7268341024	16072.806119918829	135011.57140731817	8.076786994934082	2786000.0	70000000.0
27	494.7368421052632	1.1649131774902344e-05	1340072.4351406097	976080.7514190673	325360.2504730224	162272.40562438962	324544.81124877924	815.4392242431641	0.0	1.1026937049768257	0.3278416803567712	34.68000455349056	6.227422960220947	0.18903326365489187	1.5878794147010917	9.49915897763276e-05	32.45448112487793	94658.87469421039	28143.01414832433	2977046.2918281555	534582.5835396348	16227.240562438961	136308.82072448728	8.15439224243164	2786000.0	70000000.0
28	536.8421052631579	1.1736154556274414e-05	1350083.2095742226	983372.3902702333	327790.79675674444	163484.6329689026	326969.2659378052	821.530818939209	0.0	1.1109311835342661	0.3244860400927002	35.200081593682604	6.257621284826807	0.19186809200988364	1.6116919728830226	9.641612663813248e-05	32.69692659378052	94658.87469421039	27648.412308887207	2999285.7903242116	533191.7924923152	16348.463296890259	137327.09169387817	8.21530818939209	2786000.0	70000000.0
