	Cx	Mu	v1	v2	v3	v4	v5	v6	vd	gR	gP1	gP2	gP3	gP4	gP5	gP6	gP	R	PSU	Tc	CB	Mc	Tn	Mq	Pq	Q
42	1.36	1.564979553222656e-05	1800293.7912940981	1311296.3676452641	437098.78921508807	218001.65176391607	436003.30352783215	1095.4856872558591	0.0	1.4813920342750475	0.966787057137503	12.34309072741486	7.49502760490203	0.34116812757929443	2.865812271666073	0.00017144127014034888	43.600330352783196	94658.87469421039	61776.337917429286	788706.1975984013	478921.7590394731	21800.16517639161	183121.3874816895	10.954856872558592	2786000.0	70000000.0
43	1.3900000000000001	1.569509506225586e-05	1805504.879355431	1315092.0152664187	438364.0050888062	218632.67421722415	437265.3484344483	1098.6566543579102	0.0	1.4856800368117975	0.9723920355826042	12.16898200934018	7.507645991924238	0.3431460605554549	2.882426908665821	0.00017243520630927378	43.726534843444824	94658.87469421039	61955.15425204708	775336.6233890863	478343.45457256265	21863.267421722416	183651.4463424683	10.986566543579102	2786000.0	70000000.0
44	1.42	1.574039459228516e-05	1810715.9674167645	1318887.6628875735	439629.2209625245	219263.69667053223	438527.39334106445	1101.8276214599612	0.0	1.4899680393485477	0.9780132146195452	12.0026801734996	7.512632227432454	0.3451297105357299	2.899089568500131	0.0001734320153445879	43.85273933410645	94658.87469421039	62133.97058666489	762539.9797399282	477283.6019698402	21926.369667053223	184181.50520324707	11.018276214599611	2786000.0	70000000.0
45	1.45	1.5780925750732425e-05	1815378.5198926933	1322283.7686538699	440761.2562179566	219828.29570770267	439656.59141540533	1104.6648025512698	0.0	1.4938046731972185	0.983056422957591	11.836547568308356	7.530757317335481	0.3469094012473307	2.914038970477578	0.0001743263322850908	43.965659141540534	94658.87469421039	62293.96414921763	750054.068770902	477206.30819050415	21982.829570770267	184655.76839447024	11.046648025512697	2786000.0	70000000.0
46	1.48	1.582145690917969e-05	1820041.0723686211	1325679.8744201658	441893.2914733886	220392.894744873	440785.789489746	1107.5019836425784	0.0	1.4976413070458898	0.9881126007445051	11.677520334465166	7.542053375967003	0.3486936687295383	2.9290268173281215	0.00017522294911032082	44.078578948974624	94658.8746942104	62453.957711770345	738081.2273798761	476697.7794308605	22039.289474487297	185130.0315856933	11.075019836425783	2786000.0000000005	70000000.0
47	1.51	1.5861988067626953e-05	1824703.6248445509	1329075.980186462	443025.3267288206	220957.4937820434	441914.9875640868	1110.3391647338867	0.0	1.5014779408945604	0.9931817479802888	11.525175793434656	7.546875664635933	0.3504825129823529	2.9440531090517643	0.0001761218658202779	44.1914987564087	94658.8746942104	62613.95127432312	726590.8752608771	475783.71843807533	22095.74937820434	185604.29477691645	11.103391647338867	2786000.0000000005	70000000.0
48	1.54	1.5900135040283203e-05	1829091.9095277786	1332272.31502533	444090.77167511004	221488.88111114514	442977.7622222903	1113.0094528198242	0.0	1.5050888903991915	0.9979645576087818	11.375712427200508	7.555741920596545	0.3521703119588439	2.9582306204542888	0.00017697000600946922	44.297776222229004	94658.87469421039	62764.533450843366	715447.5354064597	475199.8584574265	22148.888111114513	186050.6601333619	11.130094528198242	2786000.0	70000000.0
49	1.57	1.593589782714844e-05	1833205.926418305	1335268.8789367673	445089.6263122558	221987.0567321777	443974.1134643554	1115.5128479003906	0.0	1.5084741555597836	1.0024588755346706	11.228923523160095	7.568968219353207	0.35375630550333875	2.9715529662280455	0.00017776698769012	44.39741134643555	94658.87469421039	62905.70424133111	704630.742801982	474963.40033372276	22198.70567321777	186469.12765502927	11.155128479003906	2786000.0	70000000.0
50	1.6	1.597166061401367e-05	1837319.94330883	1338265.4428482053	446088.4809494018	222485.23235321042	444970.46470642084	1118.016242980957	0.0	1.5118594207203755	1.0069632907823425	11.087929259779017	7.576656934064649	0.35534586227754505	2.9849052431313785	0.00017856575993846488	44.49704647064209	94658.87469421039	63046.87503181881	694225.1984775066	474381.28803067765	22248.52323532104	186887.59517669675	11.18016242980957	2786000.0	70000000.0
51	1.6300000000000001	1.600503921508789e-05	1841159.6924066553	1341062.2358322148	447020.74527740496	222950.19626617443	445900.39253234887	1120.3527450561523	0.0	1.515019001536928	1.0111765217082687	10.9491479633356	7.589271495287082	0.35683266342516634	2.997394372771397	0.00017931289619355084	44.59003925323486	94658.87469421039	63178.634436274064	684106.2877880286	474180.1249779322	22295.019626617443	187278.1648635865	11.203527450561523	2786000.0	70000000.0
