Nx,Cx,Irr,Mu
1.2000000000000002,1.7555555555555558,223.0,1.6333236694335942
1.2000000000000002,1.7555555555555558,334.0,1.8930816650390627
1.2000000000000002,1.7555555555555558,445.0,2.039337158203125
1.2000000000000002,1.7555555555555558,556.0,2.120086669921875
1.2000000000000002,1.7555555555555558,667.0,2.1592254638671875
1.2000000000000002,1.7555555555555558,778.0,2.1674652099609375
1.2000000000000002,1.7555555555555558,889.0,2.1518096923828125
1.2000000000000002,1.7555555555555558,1000.0,2.115966796875
1.2000000000000002,3.4111111111111114,112.0,0.014200687408447266
1.2000000000000002,3.4111111111111114,112.0,1.1533584594726562
1.2000000000000002,3.4111111111111114,223.0,1.7245788574218748
1.2000000000000002,3.4111111111111114,334.0,2.0164718627929688
1.2000000000000002,3.4111111111111114,445.0,2.183120727539063
